"keyword","search_intent","recommended_page","current_page","new_page_needed","priority","keyword_cluster","funnel_stage","pakistan_search_volume","evidence"
"online shopping Pakistan","Commercial","/","/","No","P2","Marketplace","Middle","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Broad aspiration; not the primary 90-day acquisition bet"
"Mixenza","Navigational","/","/","No","P1","Brand","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Brand query; GSC demand unverified"
"Mixenza contact","Navigational","/pages/contact","/pages/contact","No","P1","Brand","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Contact route verified live"
"gadgets Pakistan","Transactional","/shop/electronics-gadgets","/shop/electronics-gadgets","No; improve existing","P1","Electronics & Gadgets","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"useful gadgets Pakistan","Transactional","/shop/electronics-gadgets","/shop/electronics-gadgets","No; improve existing","P1","Electronics & Gadgets","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"electronics gadgets Pakistan","Transactional","/shop/electronics-gadgets","/shop/electronics-gadgets","No; improve existing","P1","Electronics & Gadgets","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"smart gadgets Pakistan","Transactional","/shop/electronics-gadgets","/shop/electronics-gadgets","No; improve existing","P1","Electronics & Gadgets","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"kitchen gadgets Pakistan","Transactional","/shop/kitchenware","/shop/kitchenware","No; improve existing","P1","Kitchenware","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk"
"kitchen accessories Pakistan","Transactional","/shop/kitchenware","/shop/kitchenware","No; improve existing","P1","Kitchenware","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk"
"kitchen tools online Pakistan","Transactional","/shop/kitchenware","/shop/kitchenware","No; improve existing","P1","Kitchenware","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk"
"portable fan price in Pakistan","Transactional","/shop/portable-fans","/shop/portable-fans","No; improve existing","P1","Portable Fans","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan fan search: Orderly, Daraz, Spector Gadgets"
"rechargeable hand fan Pakistan","Transactional","/shop/portable-fans","/shop/portable-fans","No; improve existing","P1","Portable Fans","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan fan search: Orderly, Daraz, Spector Gadgets"
"USB mini fan","Transactional","/shop/portable-fans","/shop/portable-fans","No; improve existing","P1","Portable Fans","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan fan search: Orderly, Daraz, Spector Gadgets"
"charging wala pankha","Transactional","/shop/portable-fans","/shop/portable-fans","No; improve existing","P1","Portable Fans","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan fan search: Orderly, Daraz, Spector Gadgets"
"money detector price in Pakistan","Transactional","/shop/money-detectors","/shop/money-detectors","No; improve existing","P1","Money Detectors","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan UV search: Daraz money-check results; SBP security guidance"
"UV money detector Pakistan","Transactional","/shop/money-detectors","/shop/money-detectors","No; improve existing","P1","Money Detectors","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan UV search: Daraz money-check results; SBP security guidance"
"fake note detector pen","Transactional","/shop/money-detectors","/shop/money-detectors","No; improve existing","P1","Money Detectors","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan UV search: Daraz money-check results; SBP security guidance"
"note check karne wali light","Transactional","/shop/money-detectors","/shop/money-detectors","No; improve existing","P1","Money Detectors","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Pakistan UV search: Daraz money-check results; SBP security guidance"
"personal care products Pakistan","Transactional","/shop/health-beauty","/shop/health-beauty","No; improve existing","P1","Health & Beauty","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"beauty tools Pakistan","Transactional","/shop/health-beauty","/shop/health-beauty","No; improve existing","P1","Health & Beauty","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"grooming accessories Pakistan","Transactional","/shop/health-beauty","/shop/health-beauty","No; improve existing","P1","Health & Beauty","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"hair care tools Pakistan","Transactional","/shop/hair-care","/shop/hair-care","No; improve existing","P1","Hair Care","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"mist spray hair brush","Transactional","/shop/hair-care","/shop/hair-care","No; improve existing","P1","Hair Care","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"hair straightener Pakistan","Transactional","/shop/hair-care","/shop/hair-care","No; improve existing","P1","Hair Care","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
"detangling brush","Transactional","/shop/hair-care","/shop/hair-care","No; improve existing","P1","Hair Care","Bottom","Search volume requires Keyword Planner/Ahrefs/Semrush verification.","Inventory-led candidate; query-level SERP validation outstanding"
