"id","month","article_title","primary_keyword","secondary_keywords","search_intent","target_url","product_links","category_link","funnel_stage","priority","serp_basis","publication_gate"
"1","1","Money Detector Price in Pakistan: Pen vs UV Torch","money detector price in Pakistan","UV currency checker; money detector pen price","Commercial","/blog/money-detector-price-pakistan","/product/pickora-1972612611; /product/pickora-1963263814","/shop/money-detectors","Middle","P1","Pakistan UV search: Daraz money-check results; SBP security guidance","Verify stock, margin, query overlap, factual specs and original editorial value"
"2","2","Checking Pakistani Notes: UV Tools and Security Features","check Pakistani currency notes","UV banknote security; fake note checking","Informational","/blog/check-currency-notes-uv","/product/pickora-1972612611","/shop/money-detectors","Top","P1","Pakistan UV search: Daraz money-check results; SBP security guidance","Consider as section of topic 1 initially; separate only for distinct issuer-led how-to intent"
"3","5","Rechargeable Hand Fans for Travel and Personal Cooling","rechargeable hand fan Pakistan","mini fan price; USB handheld fan","Commercial","/blog/rechargeable-hand-fans-pakistan","/product/pickora-1965017109; /product/pickora-1966895078","/shop/portable-fans","Middle","P1","Pakistan fan search: Orderly, Daraz, Spector Gadgets","Verify stock, margin, query overlap, factual specs and original editorial value"
"4","5","Portable Fan Buying Guide: Runtime and Charging","portable fan buying guide","mini fan battery life; hand fan charging","Commercial","/blog/portable-fan-buying-guide","/product/pickora-1965017109; /product/pickora-1966895078","/shop/portable-fans","Middle","P1","Pakistan fan search: Orderly, Daraz, Spector Gadgets","Merge into topic 3 until fan collection and GSC queries justify a separate guide"
"5","1","Massage Gun Price in Pakistan: What to Compare","massage gun price in Pakistan","massage gun attachments; body massager price","Commercial","/blog/massage-gun-price-pakistan","/product/pickora-1973702573; /product/tos-8396207653025-foot-roller-massager","/shop/wellness","Middle","P1","Pakistan massage search: Galaxiee, Daraz","Verify stock, margin, query overlap, factual specs and original editorial value"
"6","2","Massage Gun Attachments and Package Contents Explained","massage gun attachments","massage heads; massage gun cleaning","Informational","/blog/massage-gun-attachments","/product/pickora-1973702573","/shop/wellness","Top","P1","Pakistan massage search: Galaxiee, Daraz","Verify stock, margin, query overlap, factual specs and original editorial value"
"7","1","Automatic Water Dispenser Pump Buying Guide","automatic water pump Pakistan","bottle water pump; rechargeable dispenser","Commercial","/blog/water-dispenser-pump-pakistan","/product/pickora-1971400774; /product/tos-8317065920673-manual-water-pump","/shop/home-essentials","Middle","P1","Pakistan water-pump search: Action.pk, ASH Homes","Verify stock, margin, query overlap, factual specs and original editorial value"
"8","1","Digital Kitchen Scale Uses and Buying Checks","digital kitchen scale uses","kitchen weighing scale Pakistan; tare function","Informational","/blog/digital-kitchen-scale-uses","/product/tos-8381141581985-digital-kitchen-weight-scale-machine","/shop/kitchenware","Top","P1","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk","Verify stock, margin, query overlap, factual specs and original editorial value"
"9","2","Choosing a Food Chopper for Small Preparation Tasks","mini food chopper Pakistan","manual food chopper; chopper capacity","Commercial","/blog/mini-chopper-vs-manual","/product/tos-8381139779745-mini-food-chopper; /product/tos-8349003153569-silver-crest-4-in-1-hand-blender-set","/shop/kitchenware","Middle","P1","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk","Verify stock, margin, query overlap, factual specs and original editorial value"
"10","1","Spray Mop vs Bucket Mop: A Practical Comparison","spray mop vs spin mop","floor mop Pakistan; mop pad care","Commercial","/blog/spray-mop-vs-spin-mop","/product/tos-8317065298081-water-spray-mop; /product/tos-8317064577185-easy-mop-steel-strainer-with-mop-stick","/shop/cleaning-products","Middle","P1","Pakistan cleaning search: Daraz spray mop; WeHome kitchen collection","Verify stock, margin, query overlap, factual specs and original editorial value"
"11","2","Kitchen Gadgets Under Rs 1,000: Current Picks","kitchen gadgets under 1000 Pakistan","budget kitchen tools; affordable chopper","Commercial","/blog/kitchen-gadgets-under-1000","/product/tos-8381139779745-mini-food-chopper; /product/tos-8381141581985-digital-kitchen-weight-scale-machine","/shop/kitchenware","Middle","P2","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk","Verify stock, margin, query overlap, factual specs and original editorial value"
"12","2","Kitchen Tools for a New Home in Pakistan","kitchen essentials Pakistan","new kitchen checklist; cooking tools","Commercial","/blog/new-kitchen-tools-pakistan","/product/tos-8381139779745-mini-food-chopper; /product/tos-8381141581985-digital-kitchen-weight-scale-machine; /product/tos-8347140620449-electric-masala-grinder","/shop/kitchenware","Middle","P2","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk","Verify stock, margin, query overlap, factual specs and original editorial value"
"13","3","How to Clean and Store a Kitchen Scale","clean digital kitchen scale","scale care; kitchen scale storage","Informational","/blog/clean-kitchen-scale","/product/tos-8381141581985-digital-kitchen-weight-scale-machine","/shop/kitchenware","Top","P2","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk","Verify stock, margin, query overlap, factual specs and original editorial value"
"14","3","Masala Grinder Buying Checklist","masala grinder Pakistan","spice grinder price; grinder capacity","Commercial","/blog/masala-grinder-buying-guide","/product/tos-8347140620449-electric-masala-grinder","/shop/kitchenware","Middle","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"15","3","Hand Blender vs Chopper for Kitchen Prep","hand blender vs chopper","blending vs chopping; preparation tools","Commercial","/blog/hand-blender-vs-chopper","/product/tos-8349003153569-silver-crest-4-in-1-hand-blender-set; /product/tos-8381139779745-mini-food-chopper","/shop/kitchenware","Middle","P2","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk","Verify stock, margin, query overlap, factual specs and original editorial value"
"16","2","Cleaning Tools for Small Apartments","cleaning tools small home","compact mop; small-space cleaning","Commercial","/blog/cleaning-tools-small-homes","/product/tos-8381138927777-portable-handfree-mini-mop; /product/tos-8595515179169-kitchen-cleaning-brush-long-handle-compact-dish-bowl-scrubber","/shop/cleaning-products","Middle","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"17","3","Choosing a Mop for Tile and Marble Floors","mop for tile marble","floor cleaning tools; spray mop care","Informational","/blog/mop-for-tile-marble","/product/tos-8317065298081-water-spray-mop; /product/tos-8317064577185-easy-mop-steel-strainer-with-mop-stick","/shop/cleaning-products","Top","P2","Pakistan cleaning search: Daraz spray mop; WeHome kitchen collection","Verify stock, margin, query overlap, factual specs and original editorial value"
"18","6","A Room-by-Room Cleaning Checklist Before Eid","Eid cleaning checklist","home cleaning Pakistan; kitchen cleaning tools","Informational","/blog/eid-home-cleaning-checklist","/product/tos-8317065298081-water-spray-mop; /product/tos-8595515179169-kitchen-cleaning-brush-long-handle-compact-dish-bowl-scrubber","/shop/cleaning-products","Top","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"19","2","Rechargeable Lint Remover Buying and Care Guide","lint remover Pakistan","fabric shaver; lint remover care","Commercial","/blog/lint-remover-guide","/product/tos-8347136393377-rechargeable-lint-remover","/shop/home-essentials","Middle","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"20","5","Mosquito Lamp Buying Guide: Check the Claims","mosquito killer lamp Pakistan","USB insect lamp; mosquito trap safety","Commercial","/blog/mosquito-killer-lamp-guide","/product/tos-8718446526625-portable-mini-mosquito-killer-lamp-uv-light-mosquito-repellent-device; /product/tos-8347145371809-ultraviolet-mosquito-killer-lamp-usb-night-light-led","/shop/home-lifestyle","Middle","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"21","6","Personal Cooling and Summer Home Essentials","summer essentials Pakistan","portable fan; summer home products","Commercial","/blog/summer-home-essentials","/product/pickora-1966895078; /product/pickora-1971845697","/shop/portable-fans","Middle","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"22","5","Desk Accessories for Power-Cut Preparation","load shedding desk accessories","rechargeable hand fan; portable desk setup","Commercial","/blog/load-shedding-desk-essentials","/product/pickora-1965017109; /product/pickora-1973011885","/shop/electronics-gadgets","Middle","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"23","4","Reading Charging Instructions for Rechargeable Gadgets","rechargeable gadget charging guide","USB charging; battery storage","Informational","/blog/rechargeable-gadget-safety","/product/pickora-1966895078; /product/pickora-1971400774","/shop/electronics-gadgets","Top","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"24","6","Choosing a Portable Fan for a Desk or Travel","portable fan office travel","handheld fan; desktop mini fan","Commercial","/blog/portable-fan-use-cases","/product/pickora-1965017109; /product/pickora-1966895078","/shop/portable-fans","Middle","P2","Pakistan fan search: Orderly, Daraz, Spector Gadgets","Use a section in topic 3; avoid three fan guides covering identical buying criteria"
"25","2","365nm vs 395nm: What UV Detector Labels Mean","365nm vs 395nm","UV detector wavelength; banknote inspection light","Informational","/blog/uv-365-vs-395","/product/pickora-1972612611; /product/pickora-1963263814","/shop/money-detectors","Top","P1","Pakistan UV search: Daraz money-check results; SBP security guidance","Verify stock, margin, query overlap, factual specs and original editorial value"
"26","3","Cash-Inspection Tools for Small Shops","cash handling tools Pakistan","UV money detector; counter accessories","Commercial","/blog/cash-handling-tools-small-shops","/product/pickora-1972612611; /product/pickora-1963263814","/shop/money-detectors","Middle","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"27","3","Using a UV Money Detector Pen: Instructions and Limits","how to use money detector pen","UV pen instructions; counterfeit check limitations","Informational","/blog/use-money-detector-pen","/product/pickora-1963263814","/shop/money-detectors","Top","P2","Pakistan UV search: Daraz money-check results; SBP security guidance","Merge into topic 2 if no distinct pen-specific depth"
"28","3","Home Organisers for Small Spaces","home organizers Pakistan","drawer storage; small-space organisation","Commercial","/blog/home-organizers-small-spaces","/product/tos-8513553629345-3-layer-travel-organizer; /product/tos-8657896243361-liner-shelf-drawer-liner-cabinet-mat-decorative-film-refrigerator","/shop/organizers","Middle","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"29","4","Packing with a Travel Organiser","travel organizer packing checklist","packing compartments; travel storage","Informational","/blog/travel-organizer-checklist","/product/tos-8513553629345-3-layer-travel-organizer","/shop/organizers","Top","P3","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"30","4","Refrigerator Lock Fit and Installation Checklist","refrigerator safety lock installation","fridge lock Pakistan; adhesive lock fit","Informational","/blog/refrigerator-lock-installation","/product/tos-8555030773921-child-safety-locks-home-refrigerator-lock","/shop/home-essentials","Top","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"31","4","Measuring a Wall Before Buying Decorative Sheets","wall sticker installation","wall sheet measurements; adhesive decor","Informational","/blog/wall-sticker-installation","/product/tos-8349904699553-3d-brick-wall-sticker-sheet-70cm-x-77cm","/shop/home-lifestyle","Top","P3","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"32","4","Tumbler Size Guide: Understanding 40oz and Millilitres","40oz tumbler size","tumbler capacity; insulated drinkware","Commercial","/blog/tumbler-size-guide","/product/pickora-1971845697","/shop/drinkware","Middle","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"33","3","Choosing a Detangling Brush and Mist Feature","detangling hair brush Pakistan","mist spray hair brush; brush cleaning","Commercial","/blog/detangling-hair-brush-types","/product/pickora-1970697444","/shop/hair-care","Middle","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"34","4","Hair Straightener Buying Checks for Pakistan","hair straightener Pakistan","styling tool voltage; heat control","Commercial","/blog/hair-straightener-pakistan","/product/tos-8657545724065-hair-straightener-and-curler-multifunctional-2-in-1-flat-iron; /product/tos-8386916876449-wireless-hair-heat-comb","/shop/hair-care","Middle","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"35","4","Eyebrow Trimmer Package and Care Guide","eyebrow trimmer care","trimmer cleaning; grooming tools Pakistan","Informational","/blog/eyebrow-trimmer-care","/product/tos-8347529511073-new-2-in-1-flawless-eyebrow-trimmer","/shop/health-beauty","Top","P3","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"36","4","Before Buying a Blackhead Removal Device","blackhead remover Pakistan","pore cleaner specifications; device instructions","Commercial","/blog/blackhead-remover-guide","/product/tos-8697414418593-black-white-head-remover-with-vacuum; /product/tos-8510404886689-updated-electric-rechargeable-blackhead-removal-with-3-level-suction-4-professional-care-heads-pore-cleaner-machine","/shop/health-beauty","Middle","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"37","3","Foot Roller vs Powered Massager: Practical Differences","foot roller vs electric massager","manual massage tools; powered massager","Commercial","/blog/foot-roller-vs-electric-massager","/product/tos-8396207653025-foot-roller-massager; /product/pickora-1973702573","/shop/wellness","Middle","P2","Pakistan massage search: Galaxiee, Daraz","Verify stock, margin, query overlap, factual specs and original editorial value"
"38","4","Choosing Massage Accessories: Evidence and Limitations","post workout massage tools","massage accessories; recovery product checklist","Informational","/blog/post-workout-massage-tools","/product/pickora-1973702573; /product/tos-8396207653025-foot-roller-massager","/shop/wellness","Top","P2","Pakistan massage search: Galaxiee, Daraz","Hold for qualified safety review and original evidence"
"39","3","Practical Gifts Under Rs 2,000: Current Stock","useful gifts under 2000 Pakistan","budget gifts; everyday gadget gifts","Commercial","/blog/gifts-under-2000-pakistan","/product/pickora-1973011885; /product/pickora-1970697444","/shop/electronics-gadgets","Middle","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"40","2","Useful Home Products Under Rs 1,000","home products under 1000 Pakistan","budget home essentials; household accessories","Commercial","/blog/home-products-under-1000","/product/pickora-1971400774; /product/tos-8555030773921-child-safety-locks-home-refrigerator-lock","/shop/home-essentials","Middle","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"41","3","How to Compare an Online Product Listing","check product quality online Pakistan","product specifications; original photos","Informational","/blog/check-product-quality-online","/product/pickora-1971400774; /product/pickora-1971845697","/shop/home-essentials","Top","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"42","2","Cash on Delivery Shopping Checklist for Pakistan","COD shopping Pakistan","cash on delivery questions; delivery charges","Informational","/blog/cod-shopping-checklist","/product/pickora-1971400774","/shop/home-essentials","Top","P2","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"43","2","Checking Delivery and Return Terms Before Ordering","delivery returns Pakistan","return policy questions; shipping fees","Informational","/blog/delivery-returns-pakistan","/product/pickora-1971400774","/shop/home-essentials","Top","P2","Inventory-led candidate; query-level SERP validation outstanding","Prefer durable shipping/returns policy rather than a competing generic article"
"44","4","Measure Before Buying: Desk, Drawer and Shelf Products","measure before buying online","product dimensions; desk mat fit","Informational","/blog/measure-before-buying","/product/pickora-1973011885; /product/tos-8657896243361-liner-shelf-drawer-liner-cabinet-mat-decorative-film-refrigerator","/shop/office-accessories","Top","P3","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"45","3","Kitchen Sink Brushes, Sponges and Splash Guards","kitchen sink cleaning tools","dish brush; cleaning sponge; splash guard","Commercial","/blog/kitchen-sink-cleaning-tools","/product/tos-8595515179169-kitchen-cleaning-brush-long-handle-compact-dish-bowl-scrubber; /product/tos-8381139550369-10-layers-cleaning-sponge; /product/tos-8546176401569-1pcs-silicone-kitchen-sink-water-splash-guard","/shop/cleaning-products","Middle","P2","Pakistan kitchen search: WeHome, Markaz, kitchenware.pk","Verify stock, margin, query overlap, factual specs and original editorial value"
"46","2","Manual vs Rechargeable Bottle Water Pump","manual vs electric water pump","bottle pump comparison; dispenser fit","Commercial","/blog/manual-vs-electric-water-pump","/product/tos-8317065920673-manual-water-pump; /product/pickora-1971400774","/shop/home-essentials","Middle","P2","Pakistan water-pump search: Action.pk, ASH Homes","Verify stock, margin, query overlap, factual specs and original editorial value"
"47","4","Budget Desk Setup Accessories in Pakistan","budget desk accessories Pakistan","shortcut desk mat; desk organisation","Commercial","/blog/desk-accessories-budget-pakistan","/product/pickora-1973011885; /product/pickora-1965017109","/shop/office-accessories","Middle","P3","Inventory-led candidate; query-level SERP validation outstanding","Verify stock, margin, query overlap, factual specs and original editorial value"
"48","4","A Care Checklist for Small Home Gadgets","home gadget maintenance","cleaning rechargeable products; accessory storage","Informational","/blog/home-gadget-maintenance","/product/pickora-1966895078; /product/pickora-1971400774","/shop/electronics-gadgets","Top","P3","Inventory-led candidate; query-level SERP validation outstanding","Use as a maintenance section unless distinct demand is demonstrated"
"49","1","What to Check on a Mixenza Product Page","Mixenza product information","Mixenza specifications; Mixenza support","Navigational","/blog/how-we-select-products","/product/pickora-1971400774; /product/pickora-1972612611","/shop/home-essentials","Bottom","P1","Inventory-led candidate; query-level SERP validation outstanding","Do not claim a product-testing process that is not implemented"
"50","6","Planning Seasonal Home Purchases in Pakistan","seasonal home shopping Pakistan","summer cooling checklist; seasonal home tools","Informational","/blog/seasonal-shopping-calendar","/product/pickora-1966895078; /product/tos-8317065298081-water-spray-mop","/shop/home-essentials","Top","P3","Inventory-led candidate; query-level SERP validation outstanding","Publish only with practical seasonal evidence; not a price prediction"
