"id","current_slug_url","numeric_alias","title","date","body_words","same_slug_record_count","same_body_record_count","decision","reason","redirect_rule"
"1","/blog/gold-prices-pkr-shoppers","/blog/1","Gold Holds Near Record Highs - What That Means for PKR Shoppers","Sep 19, 2026","89","1","1","Noindex pending factual and commercial review","Unsourced time-sensitive news; supplier freight must not be confused with customer delivery","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"2","/blog/china-shipping-marketplace-orders","/blog/2","China Freight Is Slowing Again - How Long Marketplace Orders Take","Sep 18, 2026","92","1","1","Improve at same URL after verifying real delivery flow","Unsourced time-sensitive news; supplier freight must not be confused with customer delivery","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"3","/blog/mobile-prices-accessories-pakistan","/blog/3","Phone Prices Stay Firm - Accessories Are Where Shoppers Save","Sep 17, 2026","91","1","1","Improve at same URL as practical accessories guide only if it retains original intent","Unsourced time-sensitive news; supplier freight must not be confused with customer delivery","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"4","/blog/underwear-blog","/blog/4","The Art of Makeup: Mastering the Perfect Everyday Look","Dec 24, 2023","79","3","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"5","/blog/underwear-blog","/blog/5","Unlocking the Secrets of Anti-Aging: Effective Strategies and Products","Dec 26, 2023","79","3","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"6","/blog/underwear-blog","/blog/6","Exploring the World of Fragrances: How to Find Your Signature Scent","Dec 26, 2023","79","3","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"7","/blog/cosmetic-news","/blog/7","cosmetic Trends to Watch Out for in Summer 2023","Dec 20, 2023","79","3","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"8","/blog/cosmetic-news","/blog/8","How to Build a Sustainable and Stylish Wardrobe","Dec 21, 2023","79","3","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"9","/blog/cosmetic-news","/blog/9","cosmetic and Beauty Tips for Busy Professionals","Dec 22, 2023","79","3","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"10","/blog/toys-kid-news","/blog/10","The Art of Makeup: Mastering the Perfect Everyday Look","Dec 22, 2023","79","3","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"11","/blog/toys-kid-news","/blog/11","How to Build a Sustainable and Stylish Wardrobe","Dec 21, 2023","79","3","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"12","/blog/toys-kid-news","/blog/12","toys kid and Beauty Tips for Busy Professionals","Dec 22, 2023","79","3","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"13","/blog/yoga-news","/blog/13","Mastering the Perfect Everyday Look","Dec 22, 2023","79","3","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"14","/blog/yoga-news","/blog/14","How to Build a Sustainable","Dec 21, 2023","79","3","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"15","/blog/yoga-news","/blog/15","Beauty Tips for Busy Professionals","Dec 22, 2023","79","3","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"16","/blog/organic-news","/blog/16","The Art of Makeup: Mastering the Perfect Everyday Look","Dec 22, 2023","79","6","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"17","/blog/organic-news","/blog/17","How to Build a Sustainable and Stylish Wardrobe","Dec 21, 2023","79","6","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"18","/blog/organic-news","/blog/18","toys kid and Beauty Tips for Busy Professionals","Dec 22, 2023","79","6","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"19","/blog/organic-news","/blog/19","quality Headphone models worth buying in 2024","Dec 22, 2023","79","6","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"20","/blog/organic-news","/blog/20","Useful feature of S21 Ultra that you don’t know","Dec 22, 2023","79","6","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
"21","/blog/organic-news","/blog/21","Great performance of the new iPhone Generation","Dec 22, 2023","79","6","18","Noindex actual served page; remove duplicate records after URL-value review","Unrelated repeated recipe paragraph under fashion/beauty/toy/tech headline; misleading theme author","Check GSC/backlinks/logs first; 301 only to a close replacement; otherwise 404/410 when retired. Canonicalize valid aliases to one retained URL."
